,Unnamed: 0,Date,Home_Team,Away_Team,Field_Goal,Field_Goal_Attempts,Field_Goal_%,2Point,2Point_Attempts,2Point_%,3Point,3Point_Attempts,3Point_%,Free_Throw,Free_Throw_Attempt,Free_Throw_%,Points,Away_Field_Goal,Away_Field_Goal_Attempts,Away_Field_Goal_%,Away_2Point,Away_2Point_Attempts,Away_2Point_%,Away_3Point,Away_3Point_Attempts,Away_3Point_%,Away_Free_Throw,Away_Free_Throw_Attempt,Away_Free_Throw_%,Away_Points,Offensive_Efficiency,Away_Offensive_Efficiency,ielo,away_ielo,Away_ielo
0,0,2018-10-16,BOS,PHI,42,97,0.433,31,60,0.517,11,37,0.297,10,14,0.714,105,34,87,0.391,29,61,0.475,5,26,0.192,14,23,0.609,87,108.24742268041236,100.0,1500,1500,1500
1,1,2018-10-16,GSW,OKC,42,95,0.442,35,69,0.507,7,26,0.269,17,18,0.944,108,33,91,0.363,23,54,0.426,10,37,0.27,24,37,0.649,100,113.68421052631578,109.8901098901099,1500,1500,1500
2,2,2018-10-17,CHO,MIL,41,92,0.446,25,54,0.463,16,38,0.421,14,22,0.636,112,42,85,0.494,28,51,0.549,14,34,0.412,15,20,0.75,113,121.73913043478262,132.94117647058823,1500,1500,1500
3,3,2018-10-17,DET,BRK,39,92,0.424,33,68,0.485,6,24,0.25,19,22,0.864,103,40,82,0.488,35,55,0.636,5,27,0.185,15,22,0.682,100,111.95652173913044,121.95121951219512,1500,1500,1500
4,4,2018-10-17,HOU,NOP,39,92,0.424,23,44,0.523,16,48,0.333,18,24,0.75,112,52,98,0.531,42,73,0.575,10,25,0.4,17,22,0.773,131,121.73913043478262,133.67346938775512,1500,1500,1500
5,5,2018-10-17,IND,MEM,47,83,0.566,37,57,0.649,10,26,0.385,7,13,0.538,111,25,84,0.298,15,55,0.273,10,29,0.345,23,28,0.821,83,133.73493975903614,98.8095238095238,1500,1500,1500
6,6,2018-10-17,LAC,DEN,35,88,0.398,27,60,0.45,8,28,0.286,20,24,0.833,98,33,87,0.379,25,63,0.397,8,24,0.333,33,42,0.786,107,111.36363636363636,122.98850574712642,1500,1500,1500
7,7,2018-10-17,NYK,ATL,45,99,0.455,33,66,0.5,12,33,0.364,24,31,0.774,126,41,90,0.456,31,54,0.574,10,36,0.278,15,18,0.833,107,127.27272727272728,118.88888888888889,1500,1500,1500
8,8,2018-10-17,ORL,MIA,39,94,0.415,32,69,0.464,7,25,0.28,19,31,0.613,104,38,97,0.392,29,64,0.453,9,33,0.273,16,22,0.727,101,110.63829787234044,104.1237113402062,1500,1500,1500
9,9,2018-10-17,PHO,DAL,44,81,0.543,25,47,0.532,19,34,0.559,14,16,0.875,121,38,88,0.432,28,55,0.509,10,33,0.303,14,20,0.7,100,149.3827160493827,113.63636363636364,1500,1500,1500
