,Team,FT_%,3pt_%,2pt_%,Free_Throw_%,Away_Free_Throw_%,3Point_%,Away_3Point_%,2Point_%,Away_2Point_%,Points,Away_Points,O_Efficiency,Away_O_Effciency,avg_points,o_eff
0,BOS,79.63274336283186,36.78849557522125,52.75530973451328,80.66548672566373,78.6,37.34867256637169,36.2283185840708,53.85309734513274,51.657522123893806,114.79646017699115,110.93805309734513,126.98101505740597,124.63954983854306,112.86725663716814,125.81028244797452
1,GSW,79.57062062062062,36.54119119119119,53.52932932932933,80.0153153153153,79.12592592592593,36.86756756756756,36.214814814814815,54.62162162162163,52.43703703703704,114.15315315315316,111.83333333333333,127.66206197875431,126.36635401532074,112.99324324324324,127.01420799703752
2,CHO,76.70799549549551,35.62230980980981,50.59174174174174,76.72500000000001,76.690990990991,36.18425925925926,35.06036036036037,51.155555555555566,50.02792792792791,109.0,107.0,126.3975297380476,122.80965193152336,108.0,124.60359083478548
3,DET,75.18272727272726,35.44045454545454,51.125,74.38363636363636,75.98181818181817,35.67636363636363,35.20454545454546,51.60727272727273,50.64272727272728,107.68181818181819,106.24545454545455,128.02733394926582,123.51479250164174,106.96363636363637,125.77106322545379
4,HOU,77.63938053097345,34.654424778761054,55.034070796460185,76.68318584070798,78.59557522123893,34.06902654867256,35.239823008849555,55.0566371681416,55.01150442477877,113.87610619469027,113.16814159292035,128.94666695495602,127.3569585739904,113.52212389380531,128.15181276447322
5,IND,77.40967629250116,36.669954199658434,52.86681027790716,76.60619469026548,78.21315789473684,36.14955752212389,37.19035087719298,53.13274336283186,52.60087719298246,110.73451327433628,110.83333333333333,125.54438686425459,123.21285956714648,110.7839233038348,124.37862321570054
6,LAC,80.61991150442478,38.97433628318585,52.07035398230089,80.33539823008849,80.90442477876107,39.44159292035399,38.5070796460177,52.45752212389381,51.68318584070797,117.15929203539822,113.17699115044248,128.74304240105374,127.35641386765269,115.16814159292035,128.04972813435322
7,NYK,74.95500000000001,35.594545454545454,48.955,75.30272727272727,74.60727272727274,35.447272727272725,35.74181818181818,49.87272727272727,48.03727272727272,106.85454545454546,104.63636363636364,124.592605928776,122.53635184677353,105.74545454545455,123.56447888777475
8,ORL,77.50958462732919,34.66866459627329,49.715345496894415,77.53482142857142,77.48434782608696,35.364285714285714,33.97304347826087,50.20982142857143,49.22086956521739,107.05357142857143,105.4695652173913,123.15274746651694,121.09731379499313,106.26156832298136,122.12503063075503
9,PHO,81.39682743087914,35.27766387076731,54.06762193227711,80.50086206896552,82.29279279279278,36.25172413793104,34.3036036036036,54.47758620689656,53.65765765765766,112.67241379310344,111.16216216216216,130.43818594855463,127.45437884315552,111.91728797763281,128.94628239585506
10,SAC,74.14927161654134,36.87696585213033,52.83482926065163,74.56696428571429,73.7315789473684,37.27410714285715,36.47982456140352,53.32053571428571,52.34912280701755,113.51785714285714,111.97368421052632,128.99153159412083,126.79807498488347,112.74577067669173,127.89480328950215
11,SAS,80.71190137505928,37.3897226173542,51.520495495495496,80.50450450450451,80.91929824561404,38.68558558558558,36.093859649122805,51.524324324324326,51.516666666666666,112.57657657657657,111.89473684210526,127.13327179088907,124.21217122493208,112.23565670934092,125.67272150791058
12,TOR,80.58407079646017,36.96548672566372,52.50619469026549,81.28230088495573,79.88584070796459,36.78141592920354,37.1495575221239,52.90530973451328,52.107079646017695,113.8141592920354,111.96460176991151,127.52708043802139,125.30253447393136,112.88938053097345,126.41480745597637
13,PHI,76.27703416149069,36.71032220496894,52.91017857142857,77.13928571428572,75.41478260869565,38.45803571428571,34.96260869565217,53.98035714285714,51.84,116.55357142857143,110.06086956521739,130.43492682333599,124.20052858340874,113.30722049689442,127.31772770337236
14,POR,81.06982685648326,37.37494805694498,51.78867641400539,81.33008849557523,80.8095652173913,37.96902654867256,36.7808695652174,52.44778761061947,51.1295652173913,117.0,113.4695652173913,129.12904510286594,124.8178852360422,115.23478260869565,126.97346516945407
15,WAS,77.22964601769912,35.29557522123894,52.80752212389381,76.40265486725664,78.0566371681416,35.359292035398234,35.23185840707965,53.46637168141593,52.14867256637168,116.46902654867256,113.49557522123894,131.14616346349828,127.51815355275687,114.98230088495575,129.33215850812758
16,BRK,76.47654867256637,36.18805309734513,53.491150442477874,75.85840707964601,77.09469026548672,36.889380530973455,35.48672566371681,54.05221238938053,52.93008849557523,114.63716814159292,113.58407079646018,127.40658225807246,124.16323354240865,114.11061946902655,125.78490790024055
17,MEM,77.14379366557986,34.63641515292657,52.17848160223568,77.40263157894735,76.88495575221239,33.670175438596495,35.60265486725664,52.06315789473685,52.29380530973451,109.15789473684211,109.95575221238938,126.2253425267108,124.72224744623531,109.55682347461575,125.47379498647305
18,MIL,75.70555900621117,36.44074922360248,56.39682065217392,74.39285714285714,77.01826086956521,37.62410714285714,35.25739130434783,57.05624999999999,55.73739130434783,120.59821428571429,117.31304347826087,126.31740599697311,123.15126906778636,118.95562888198758,124.73433753237973
19,MIN,76.7059633027523,34.788990825688074,51.48256880733946,76.2908256880734,77.12110091743119,34.33761467889909,35.24036697247706,51.3119266055046,51.65321100917432,112.0,113.1743119266055,127.87157584346993,125.69667770540565,112.58715596330275,126.7841267744378
20,NOP,73.808407079646,35.31991150442478,53.8504424778761,74.33451327433627,73.28230088495575,35.29203539823009,35.34778761061947,53.86017699115044,53.84070796460177,115.91150442477876,114.69026548672566,128.1630526947762,126.7591264757871,115.30088495575221,127.46108958528166
21,UTA,76.9420112781955,37.19314692982456,54.17737312030076,77.33928571428571,76.54473684210528,37.61875,36.76754385964912,54.42053571428572,53.93421052631579,113.82142857142857,112.35087719298245,127.02126125797868,124.36222148133736,113.08615288220551,125.69174136965802
22,CHI,77.87230980980982,35.422935435435434,51.699762262262254,77.62702702702704,78.1175925925926,35.181981981981984,35.66388888888889,51.15045045045044,52.24907407407407,106.26126126126127,108.55555555555556,125.50072497212513,125.92571604403852,107.4084084084084,125.71322050808183
23,DAL,76.4526582761251,35.54521739130435,54.06224256292906,76.29391304347826,76.61140350877194,35.5904347826087,35.5,54.3086956521739,53.81578947368422,112.99130434782609,112.32456140350877,126.70100461341187,125.93702690086039,112.65793287566743,126.31901575713613
24,DEN,78.00625679242353,36.03027480204938,53.821980282564816,77.48596491228068,78.52654867256638,35.957894736842114,36.10265486725664,55.13245614035088,52.51150442477876,114.3157894736842,110.1858407079646,128.07467072995857,124.62974590096994,112.2508150908244,126.35220831546425
25,LAL,72.04922566371681,34.34898467130215,54.44688290139064,72.725,71.37345132743363,33.870535714285715,34.82743362831859,55.19553571428571,53.69823008849557,112.02678571428571,111.14159292035399,126.1960525534173,123.82798615753893,111.58418931731984,125.01201935547812
26,MIA,75.02573358174196,36.28585623350412,53.158581741965534,75.26725663716813,74.78421052631579,37.47522123893806,35.09649122807017,53.15663716814159,53.16052631578948,110.08849557522124,106.91228070175438,128.07551389408445,124.68472695105322,108.5003881384878,126.38012042256884
27,CLE,76.29711554516614,34.5212681582902,50.643508933043904,77.51592920353981,75.07830188679246,36.24159292035398,32.80094339622642,50.682300884955744,50.60471698113207,106.98230088495575,102.84905660377359,126.35468932778227,124.72101513412701,104.91567874436467,125.53785223095464
28,OKC,74.37376253132831,34.82990288220552,51.66705043859649,74.28859649122805,74.45892857142857,35.60087719298246,34.058928571428574,52.24035087719298,51.09375,111.37719298245614,108.92857142857143,124.98361656368598,123.44448292326895,110.15288220551378,124.21404974347746
29,ATL,78.29509009009007,35.159160524160534,52.457264537264535,78.78018018018017,77.80999999999999,35.7846846846847,34.53363636363637,52.9018018018018,52.01272727272727,115.29729729729729,110.63636363636364,130.37821302210668,125.902303950644,112.96683046683046,128.14025848637533
