Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,2018-10-16,BOS,,PHI,W 105-87,240,42,97,0.433,31,60,0.517,11,37,0.297,10,14,0.714,105,34,87,0.391,29,61,0.475,5,26,0.192,14,23,0.609,87
2,2018-10-16,PHI,@,BOS,L 87-105,240,34,87,0.391,29,61,0.475,5,26,0.192,14,23,0.609,87,42,97,0.433,31,60,0.517,11,37,0.297,10,14,0.714,105
3,2018-10-16,GSW,,OKC,W 108-100,240,42,95,0.442,35,69,0.507,7,26,0.269,17,18,0.944,108,33,91,0.363,23,54,0.426,10,37,0.27,24,37,0.649,100
4,2018-10-16,OKC,@,GSW,L 100-108,240,33,91,0.363,23,54,0.426,10,37,0.27,24,37,0.649,100,42,95,0.442,35,69,0.507,7,26,0.269,17,18,0.944,108
5,2018-10-17,CHO,,MIL,L 112-113,240,41,92,0.446,25,54,0.463,16,38,0.421,14,22,0.636,112,42,85,0.494,28,51,0.549,14,34,0.412,15,20,0.75,113
6,2018-10-17,MIL,@,CHO,W 113-112,240,42,85,0.494,28,51,0.549,14,34,0.412,15,20,0.75,113,41,92,0.446,25,54,0.463,16,38,0.421,14,22,0.636,112
7,2018-10-17,BRK,@,DET,L 100-103,240,40,82,0.488,35,55,0.636,5,27,0.185,15,22,0.682,100,39,92,0.424,33,68,0.485,6,24,0.25,19,22,0.864,103
8,2018-10-17,DET,,BRK,W 103-100,240,39,92,0.424,33,68,0.485,6,24,0.25,19,22,0.864,103,40,82,0.488,35,55,0.636,5,27,0.185,15,22,0.682,100
9,2018-10-17,HOU,,NOP,L 112-131,240,39,92,0.424,23,44,0.523,16,48,0.333,18,24,0.75,112,52,98,0.531,42,73,0.575,10,25,0.4,17,22,0.773,131
10,2018-10-17,NOP,@,HOU,W 131-112,240,52,98,0.531,42,73,0.575,10,25,0.4,17,22,0.773,131,39,92,0.424,23,44,0.523,16,48,0.333,18,24,0.75,112
